id;name;geoid;geoname;value;datetime
805;Precio medio horario componente mercado diario ;;;69.26;2021-07-04T14:00:00
805;Precio medio horario componente mercado diario ;;;67.1;2021-07-04T15:00:00
805;Precio medio horario componente mercado diario ;;;58.45;2021-07-04T16:00:00
805;Precio medio horario componente mercado diario ;;;65.09;2021-07-04T17:00:00
805;Precio medio horario componente mercado diario ;;;69.57;2021-07-04T18:00:00
805;Precio medio horario componente mercado diario ;;;81.02;2021-07-04T19:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-04T20:00:00
805;Precio medio horario componente mercado diario ;;;102.09;2021-07-04T21:00:00
805;Precio medio horario componente mercado diario ;;;104.92;2021-07-04T22:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-04T23:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-05T00:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-05T01:00:00
805;Precio medio horario componente mercado diario ;;;89.46;2021-07-05T02:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-05T03:00:00
805;Precio medio horario componente mercado diario ;;;89.05;2021-07-05T04:00:00
805;Precio medio horario componente mercado diario ;;;91.5;2021-07-05T05:00:00
805;Precio medio horario componente mercado diario ;;;96.32;2021-07-05T06:00:00
805;Precio medio horario componente mercado diario ;;;101.93;2021-07-05T07:00:00
805;Precio medio horario componente mercado diario ;;;105.69;2021-07-05T08:00:00
805;Precio medio horario componente mercado diario ;;;103.55;2021-07-05T09:00:00
805;Precio medio horario componente mercado diario ;;;101;2021-07-05T10:00:00
805;Precio medio horario componente mercado diario ;;;100.09;2021-07-05T11:00:00
805;Precio medio horario componente mercado diario ;;;97.91;2021-07-05T12:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-05T13:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-05T14:00:00
805;Precio medio horario componente mercado diario ;;;83.93;2021-07-05T15:00:00
805;Precio medio horario componente mercado diario ;;;79.49;2021-07-05T16:00:00
805;Precio medio horario componente mercado diario ;;;78.4;2021-07-05T17:00:00
805;Precio medio horario componente mercado diario ;;;78.5;2021-07-05T18:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-05T19:00:00
805;Precio medio horario componente mercado diario ;;;101.73;2021-07-05T20:00:00
805;Precio medio horario componente mercado diario ;;;105;2021-07-05T21:00:00
805;Precio medio horario componente mercado diario ;;;103.96;2021-07-05T22:00:00
805;Precio medio horario componente mercado diario ;;;94.58;2021-07-05T23:00:00
805;Precio medio horario componente mercado diario ;;;97.5;2021-07-06T00:00:00
805;Precio medio horario componente mercado diario ;;;92.32;2021-07-06T01:00:00
805;Precio medio horario componente mercado diario ;;;89.05;2021-07-06T02:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-06T03:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-06T04:00:00
805;Precio medio horario componente mercado diario ;;;89;2021-07-06T05:00:00
805;Precio medio horario componente mercado diario ;;;91.1;2021-07-06T06:00:00
805;Precio medio horario componente mercado diario ;;;99.61;2021-07-06T07:00:00
805;Precio medio horario componente mercado diario ;;;100.34;2021-07-06T08:00:00
805;Precio medio horario componente mercado diario ;;;98.6;2021-07-06T09:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-06T10:00:00
805;Precio medio horario componente mercado diario ;;;92.63;2021-07-06T11:00:00
805;Precio medio horario componente mercado diario ;;;94.2;2021-07-06T12:00:00
805;Precio medio horario componente mercado diario ;;;96.3;2021-07-06T13:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-06T14:00:00
805;Precio medio horario componente mercado diario ;;;81.6;2021-07-06T15:00:00
805;Precio medio horario componente mercado diario ;;;78.27;2021-07-06T16:00:00
805;Precio medio horario componente mercado diario ;;;78.37;2021-07-06T17:00:00
805;Precio medio horario componente mercado diario ;;;91.46;2021-07-06T18:00:00
805;Precio medio horario componente mercado diario ;;;99.94;2021-07-06T19:00:00
805;Precio medio horario componente mercado diario ;;;103.47;2021-07-06T20:00:00
805;Precio medio horario componente mercado diario ;;;104.42;2021-07-06T21:00:00
805;Precio medio horario componente mercado diario ;;;104.73;2021-07-06T22:00:00
805;Precio medio horario componente mercado diario ;;;101.01;2021-07-06T23:00:00
